pop_size:100	 vacc_percentage:0.4	 virus_name:theaids	 mortality_rate:0.4	 basic_repro_num:0.3 
Infected person: 0	 random person 3	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 0	 random person 31	 random person got the virus True	 did have vacc False	 random person got None
Infected person: 0	 random person 13	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 0	 random person 69	 random person got the virus True	 did have vacc False	 random person got None
Infected person: 0	 random person 3	 random person got the virus True	 did have vacc False	 random person got None
Infected person: 0	 random person 29	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 0	 random person 3	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 0	 random person 91	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 0	 random person 69	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 0	 random person 57	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 0	 random person 97	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 0	 random person 89	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 0	 random person 35	 random person got the virus True	 did have vacc False	 random person got None
Infected person: 0	 random person 97	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 0	 random person 11	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 0	 random person 45	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 0	 random person 77	 random person got the virus True	 did have vacc False	 random person got None
Infected person: 0	 random person 5	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 0	 random person 15	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 0	 random person 37	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 0	 random person 79	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 0	 random person 73	 random person got the virus True	 did have vacc False	 random person got None
Infected person: 0	 random person 5	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 0	 random person 37	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 0	 random person 29	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 0	 random person 35	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 0	 random person 47	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 0	 random person 85	 random person got the virus True	 did have vacc False	 random person got None
Infected person: 0	 random person 87	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 0	 random person 77	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 0	 random person 93	 random person got the virus True	 did have vacc False	 random person got None
Infected person: 0	 random person 59	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 0	 random person 81	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 0	 random person 87	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 0	 random person 99	 random person got the virus True	 did have vacc False	 random person got None
Infected person: 0	 random person 51	 random person got the virus True	 did have vacc False	 random person got None
Infected person: 0	 random person 27	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 0	 random person 91	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 0	 random person 83	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 0	 random person 33	 random person got the virus True	 did have vacc False	 random person got None
Infected person: 0	 random person 95	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 0	 random person 33	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 0	 random person 51	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 0	 random person 17	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 0	 random person 11	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 0	 random person 19	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 0	 random person 87	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 0	 random person 49	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 0	 random person 59	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 0	 random person 1	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 0	 random person 87	 random person got the virus False	 did have vacc False	 random person got None
